Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2002-08-12,28.24095344543457,28.4543606072652,27.547376777460908,27.547376777460908,212976
2002-08-13,27.85858917236328,28.730005369722257,27.654074593613576,28.276513571604877,153576
2002-08-14,25.937917709350586,27.920829002076285,25.413288496697355,27.920829002076285,822776
2002-08-15,25.937917709350586,25.937917709350586,25.937917709350586,25.937917709350586,0
2002-08-16,25.875680923461914,27.031639177774647,25.431081594880094,25.804546116336404,811856
2002-08-19,25.235456466674805,26.089087708836132,24.995374460629343,26.089087708836132,205880
2002-08-20,25.937917709350586,27.54736459876688,25.244341348007136,25.413288496697355,3773624
2002-08-21,27.2094669342041,27.885258158953636,25.982374412814547,27.36952153660526,3011064
2002-08-22,28.38321876525879,29.574744278015867,27.965294361844197,28.107566672386522,6732480
2002-08-23,30.090476989746094,31.03302795163108,28.285405102648763,28.632191978295726,4841672
2002-08-26,29.983762741088867,30.76625602862426,29.743678154840502,30.57063134993171,2576912
2002-08-27,29.236846923828125,31.477628331154346,28.987872417955696,30.23275037455502,3694224
2002-08-28,29.26352882385254,29.592530704159344,28.6588720990185,29.14793136837799,1674960
2002-08-29,29.26352882385254,29.788155497350736,28.9878766929443,29.085689089539997,1236544
2002-08-30,31.335355758666992,32.10006703973339,29.343551587567916,29.352444115621196,3762384
2002-09-02,31.655471801757812,32.704725118728064,31.335359746431983,31.83331153098117,2389568
2002-09-03,30.170515060424805,31.9666977731836,29.877080533490098,31.833317949373377,986784
2002-09-04,30.828527450561523,31.121962006892904,29.441376601244635,29.78816363516892,1449856
2002-09-05,30.641775131225586,31.913327663351176,30.232743354877183,31.771055387192867,1061360
2002-09-06,29.50360679626465,30.766269822400197,29.174604961017092,30.766269822400197,907472
2002-09-09,29.121259689331055,30.366137966126885,28.09868110482019,28.09868110482019,880848
2002-09-10,29.121259689331055,29.121259689331055,29.121259689331055,29.121259689331055,0
2002-09-11,29.859298706054688,30.375035708826648,29.281319406933882,29.281319406933882,635936
2002-09-12,30.01044273376465,30.748476239992304,29.805928209470583,30.22384978381451,781968
2002-09-13,29.156831741333008,30.037138120268608,28.90785713176608,28.961209609136056,338264
2002-09-16,28.587732315063477,29.592525553598083,28.365432685863915,29.432470906021805,288592
2002-09-17,29.423572540283203,29.61030473448554,29.005650948477772,29.10346059502463,462952
2002-09-18,28.516599655151367,29.34355325226779,28.276514952185323,29.254633393927584,315432
2002-09-19,28.276506423950195,29.21905718080545,27.920827097862773,28.2765064239502,490848
2002-09-20,27.81413459777832,28.223166547608407,27.147235564452888,27.262833025067433,501072
2002-09-23,27.342853546142578,28.080887206818726,27.227258827980243,28.009752413121667,248504
2002-09-24,26.418088912963867,27.245042461791883,26.124651769404668,27.245042461791883,267912
2002-09-25,26.622608184814453,26.853800386494843,25.608922222882498,25.804547019754914,379544
2002-09-26,27.040529251098633,27.467343482323955,26.85379700733054,27.173909037558882,178136
2002-09-27,27.36954116821289,27.74300579318441,26.95161931167969,26.95161931167969,206288
2002-09-30,26.373626708984375,27.36952735007204,25.804540240703087,26.951605704536277,202232
2002-10-01,26.151329040527344,26.85379532926453,25.69783725217698,26.498115920929898,240192
